@RELATION pacman-data

@ATTRIBUTE score NUMERIC
@ATTRIBUTE scoreSiguiente NUMERIC

@ATTRIBUTE north_available {False,True}
@ATTRIBUTE south_available {False,True}
@ATTRIBUTE east_available {False,True}
@ATTRIBUTE west_available {False,True}

@ATTRIBUTE is_at_north {False,True}
@ATTRIBUTE is_at_south {False,True}
@ATTRIBUTE is_at_east {False,True}
@ATTRIBUTE is_at_west {False,True}

@ATTRIBUTE pacman_direction {North,South,East,West}


@data
3459,3558,True,True,True,True,True,False,False,True,North
3558,3657,False,True,True,True,False,False,False,True,North
3657,-3,False,True,True,True,False,True,False,False,West
-3,-4,False,True,True,True,False,True,False,True,West
-4,-5,False,True,True,True,False,True,False,False,West
-5,-6,False,True,True,True,False,False,False,True,West
-6,-7,False,True,True,True,False,False,False,True,West
-7,-8,True,False,True,True,False,False,False,True,South
-8,-9,True,False,True,True,False,False,True,False,East
-9,190,True,False,True,True,False,False,True,False,East
190,189,True,False,True,True,False,False,True,False,East
189,388,True,False,True,True,False,False,False,True,East
388,387,True,False,True,True,False,False,False,True,West
387,386,True,False,True,True,False,False,False,True,West
386,385,True,False,True,True,False,False,False,True,West
385,384,True,False,True,True,False,False,False,True,West
384,583,True,False,True,False,True,False,False,False,West
583,-2,True,False,True,True,True,False,False,True,East
-2,-3,True,True,False,False,True,False,False,True,North
-3,-4,False,True,True,False,True,False,False,True,North
-4,-5,False,False,True,True,True,False,True,False,East
-5,-6,False,False,True,True,True,False,False,False,East
-6,-7,True,False,False,True,True,False,False,True,East
-7,-8,True,True,False,False,True,False,False,True,North
-8,-9,True,True,False,False,True,False,False,True,North
-9,-10,False,True,True,True,True,False,False,True,North
-10,-11,False,False,True,True,True,False,False,True,East
-11,-12,False,False,True,True,True,False,False,True,East
-12,-13,True,True,False,True,True,False,False,True,East
-13,-14,True,True,False,False,True,False,False,True,North
-14,-15,True,True,False,False,True,False,False,True,North
-15,-16,True,True,True,True,True,False,False,True,North
-16,-17,True,True,False,False,True,False,False,True,North
-17,-18,True,True,False,False,True,False,False,True,North
-18,-19,True,True,False,False,True,False,False,True,North
-19,-20,True,True,True,True,False,False,False,True,North
-20,-21,False,False,True,True,False,False,False,True,West
-21,-22,True,True,True,False,False,False,False,True,West
-22,-23,True,True,False,False,False,True,False,True,North
-23,-24,False,True,False,True,False,True,False,True,North
-24,-25,False,False,True,True,False,True,False,True,West
-25,-26,False,False,True,True,False,True,False,False,West
-26,-27,False,False,True,True,False,True,True,False,West
-27,-28,True,False,True,True,False,True,False,True,West
-28,-29,False,True,True,True,False,True,False,False,West
-29,-30,True,True,False,True,False,True,False,False,South
-30,-31,True,True,True,False,False,True,False,False,West
-31,-32,True,True,False,True,False,True,False,False,East
-32,167,True,False,True,True,False,False,False,True,South
167,366,True,False,True,True,False,False,False,True,West
366,365,True,False,True,True,False,False,True,False,East
365,364,False,False,True,True,False,False,True,False,East
364,363,False,False,True,True,False,False,True,False,East
363,562,False,False,False,True,False,False,False,True,East
562,561,False,False,True,True,False,False,False,True,West
561,560,False,False,True,True,False,False,False,True,West
560,559,True,False,True,True,False,False,False,True,West
559,558,True,False,True,True,False,False,False,True,West
558,557,False,False,True,True,False,False,False,True,West
557,556,False,False,True,True,False,False,False,True,West
