@RELATION pacman-data
@ATTRIBUTE north_available {True,False}
@ATTRIBUTE south_available {True,False}
@ATTRIBUTE east_available {True,False}
@ATTRIBUTE west_available {True,False}
@ATTRIBUTE stop_available {True,False}

@ATTRIBUTE ghost1_alive {True,False}
@ATTRIBUTE ghost2_alive {True,False}
@ATTRIBUTE ghost3_alive {True,False}
@ATTRIBUTE ghost4_alive {True,False}

@ATTRIBUTE ghost1_last_move {North,South,East,West,None,Stop}
@ATTRIBUTE ghost2_last_move {North,South,East,West,None,Stop}
@ATTRIBUTE ghost3_last_move {North,South,East,West,None,Stop}
@ATTRIBUTE ghost4_last_move {North,South,East,West,None,Stop}

@ATTRIBUTE ghost1_distance NUMERIC
@ATTRIBUTE ghost2_distance NUMERIC
@ATTRIBUTE ghost3_distance NUMERIC
@ATTRIBUTE ghost4_distance NUMERIC

@ATTRIBUTE food_distance NUMERIC
@ATTRIBUTE pacman_direction {North,South,East,West,Stop}

@ATTRIBUTE score NUMERIC
@ATTRIBUTE scoreSiguiente NUMERIC

@data
True,True,True,True,True,True,True,True,False,Stop,Stop,Stop,None,6,10,4,0,145,145,10,North
True,True,True,True,True,True,True,True,False,Stop,Stop,Stop,None,7,9,5,0,144,144,9,North
True,True,True,True,True,True,True,True,False,Stop,Stop,Stop,None,8,8,6,0,143,143,8,North
True,True,True,True,True,True,True,True,False,Stop,Stop,Stop,None,9,7,7,0,142,142,9,North
True,True,True,True,True,True,True,True,False,Stop,Stop,Stop,None,10,6,8,0,141,141,10,North
True,True,True,True,True,True,True,True,False,Stop,Stop,Stop,None,11,5,9,0,140,140,11,North
True,True,True,True,True,True,True,True,False,Stop,Stop,Stop,None,12,6,10,0,139,139,12,North
False,True,True,True,True,True,True,True,False,Stop,Stop,Stop,None,13,7,11,0,138,138,13,North
False,True,True,True,True,True,True,True,False,Stop,Stop,Stop,None,13,7,11,0,137,137,13,North
False,True,True,True,True,True,True,True,False,Stop,Stop,Stop,None,13,7,11,0,136,136,13,North
